stock,1.05,1.05
cbond,1.05,0.00
gbond,1.05,0.00
alter,1.05,0.00
cash,1.05,0.00
stock,1.23,0.46
cbond,1.23,0.00
gbond,1.23,0.00
alter,1.23,0.77
cash,1.23,0.00
stock,0.84,0.84
cbond,0.84,0.00
gbond,0.84,0.00
alter,0.84,0.00
cash,0.84,0.00
stock,1.03,1.03
cbond,1.03,0.00
gbond,1.03,0.00
alter,1.03,0.00
cash,1.03,0.00
stock,1.04,1.04
cbond,1.04,0.00
gbond,1.04,0.00
alter,1.04,0.00
cash,1.04,0.00
stock,1.30,0.23
cbond,1.30,0.00
gbond,1.30,0.00
alter,1.30,1.07
cash,1.30,0.00
stock,1.13,0.92
cbond,1.13,0.00
gbond,1.13,0.00
alter,1.13,0.21
cash,1.13,0.00
stock,1.07,1.07
cbond,1.07,0.00
gbond,1.07,0.00
alter,1.07,0.00
cash,1.07,0.00
stock,0.79,0.79
cbond,0.79,0.00
gbond,0.79,0.00
alter,0.79,0.00
cash,0.79,0.00
stock,0.98,0.98
cbond,0.98,0.00
gbond,0.98,0.00
alter,0.98,0.00
cash,0.98,0.00
stock,1.14,0.91
cbond,1.14,0.00
gbond,1.14,0.00
alter,1.14,0.22
cash,1.14,0.00
stock,1.19,0.67
cbond,1.19,0.00
gbond,1.19,0.00
alter,1.19,0.52
cash,1.19,0.00
stock,0.89,0.89
cbond,0.89,0.00
gbond,0.89,0.00
alter,0.89,0.00
cash,0.89,0.00
stock,1.16,0.77
cbond,1.16,0.00
gbond,1.16,0.00
alter,1.16,0.39
cash,1.16,0.00
stock,1.06,1.06
cbond,1.06,0.00
gbond,1.06,0.00
alter,1.06,0.00
cash,1.06,0.00
stock,1.28,0.28
cbond,1.28,0.00
gbond,1.28,0.00
alter,1.28,1.01
cash,1.28,0.00
stock,0.87,0.87
cbond,0.87,0.00
gbond,0.87,0.00
alter,0.87,0.00
cash,0.87,0.00
stock,0.74,0.74
cbond,0.74,0.00
gbond,0.74,0.00
alter,0.74,0.00
cash,0.74,0.00
stock,1.21,0.55
cbond,1.21,0.00
gbond,1.21,0.00
alter,1.21,0.66
cash,1.21,0.00
