stock,1.00,0.03
cbond,1.00,0.00
gbond,1.00,0.00
alter,1.00,0.90
cash,1.00,0.07
stock,1.04,0.03
cbond,1.04,0.00
gbond,1.04,0.00
alter,1.04,0.94
cash,1.04,0.07
stock,1.07,0.03
cbond,1.07,0.00
gbond,1.07,0.00
alter,1.07,0.96
cash,1.07,0.08
stock,0.98,0.03
cbond,0.98,0.00
gbond,0.98,0.00
alter,0.98,0.88
cash,0.98,0.07
stock,1.16,0.03
cbond,1.16,0.00
gbond,1.16,0.00
alter,1.16,1.04
cash,1.16,0.08
stock,1.01,0.03
cbond,1.01,0.00
gbond,1.01,0.00
alter,1.01,0.91
cash,1.01,0.07
stock,1.03,0.03
cbond,1.03,0.00
gbond,1.03,0.00
alter,1.03,0.92
cash,1.03,0.07
stock,1.08,0.03
cbond,1.08,0.00
gbond,1.08,0.00
alter,1.08,0.97
cash,1.08,0.08
stock,1.06,0.03
cbond,1.06,0.00
gbond,1.06,0.00
alter,1.06,0.95
cash,1.06,0.08
stock,1.11,0.03
cbond,1.11,0.00
gbond,1.11,0.00
alter,1.11,1.00
cash,1.11,0.08
stock,1.13,0.03
cbond,1.13,0.00
gbond,1.13,0.00
alter,1.13,1.02
cash,1.13,0.08
stock,1.05,0.03
cbond,1.05,0.00
gbond,1.05,0.00
alter,1.05,0.95
cash,1.05,0.08
stock,1.10,0.03
cbond,1.10,0.00
gbond,1.10,0.00
alter,1.10,0.99
cash,1.10,0.08
stock,0.99,0.02
cbond,0.99,0.00
gbond,0.99,0.00
alter,0.99,0.89
cash,0.99,0.07
